Country Name,Country Code,Group,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)","Compulsory education, duration (years)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",Current health expenditure (% of GDP),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Government expenditure on education, total (% of GDP)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",Out-of-pocket expenditure (% of current health expenditure),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Political Stability and Absence of Violence/Terrorism: Estimate,Population density (people per sq. km of land area),Population growth (annual %),"Preprimary education, duration (years)","Primary education, duration (years)","Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Rule of Law: Estimate,"School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)","Secondary education, duration (years)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Urban population (% of total population),Urban population growth (annual %),Voice and Accountability: Estimate,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Afghanistan,AFG,country,32.45,97.7,86.803,87.64932155,36.466,9,21.57875,14.8313194,6.791,44.51263,18.33941,37.14797,42.223,32.659,4.87,18904502222,3.911603419,500.5229808,0.932833389,3.213779926,72,64,17.6,2.302372515,39.509,47.487,9991682,63.565,31.7,46.3,76.818367,73.784643,51.00348109,-2.655531168,57.90825169,2.908529093,1,6,1.9,13.4,2.5,18.1,-1.727894425,3.08,106.7010803,55.42520905,9.686420441,6,0.01618,11.085,17.339,25.754,3.919286985,-1.006746769,81.15342,16.82699
Albania,ALB,country,81.6,100,15.013,47.28039712,10.343,9,22.02832,5.2,8.48,36.41685,20.15067,43.43248,53.392,26.648,1.414,15401826081,2.087711996,5396.214227,2.523540843,3.916650057,99,95,68.55039112,1.41109079,36.584,60.31,1433004,79.282,98.14115143,8.4,56.49,94.75822472,99.18306888,0.11116863,104.1675547,-0.426007367,5,5,1.1,1.7,0.9,2,-0.402843326,75.75498962,104.8127365,95.08659363,59.7784996,7,5.10935,11.47,27.161,61.229,1.071413549,0.142711371,51.19916,45.73177
Algeria,DZA,country,99.7,99.5,12.303,57.05398753,23.298,10,1.855456,6.25170851,4.392,9.940742,30.46512,59.59416,37.369,17.767,2.988,1.72E+11,1,4021.983608,-0.840856658,6.100359917,91,80,58.97757455,1.951768211,24.401,41.75,12396383,76.474,81.40783691,20.1,33.39915466,94.23913986,86.13850435,-1.044342637,17.93031568,1.839444886,1,5,1.6,2.6,1.6,3.2,-0.848534942,79.07,108.8458481,99.61,52.61994171,7,0.61271,10.495,27.187,73.189,2.607529824,-1.053523779,27.458396,67.89183
American Samoa,ASM,country,null,null,30.65,53.83940182,17.34,null,null,null,null,null,null,null,null,null,null,647000000,-0.487804878,13672.57666,1.831713966,null,null,null,null,null,null,null,null,null,null,null,null,99.24475181,54.16600116,1.172189116,236.605,-2.304138699,null,6,null,null,null,null,1.328052163,null,null,null,null,6,null,null,null,87.147,-2.310689801,1.272708774,null,null
Andorra,AND,country,100,100,5.985,37.95832806,7,10,null,7.40840626,3.9,null,null,null,null,null,null,3155149348,2.015547638,41328.6005,0.23829657,3.15060997,99,99,90.71866533,0.5,null,null,null,null,100,2.8,12.59578514,99.99999679,99.99999679,1.602202296,162.4319149,1.757491257,3,6,0.4,1.3,0.4,2,1.572286963,null,null,null,null,6,11.05154,null,null,87.984,1.669357528,1.110087037,null,null
Angola,AGO,country,49.3,45.63388062,141.278,92.31355961,39.725,6,5.21055,2.65592647,7.811,59.3349,7.430243,33.23489,69.874,47.54,5.442,69309110146,-0.702272958,2142.238757,-4.017114161,1.927459955,57,51,32.12939197,17.07970441,56.787,77.193,13629799,62.448,68.57,50.4,37.88715363,56.88303749,51.39362268,-0.358524978,25.95138205,3.395277792,2,6,6.7,12.8,10.3,18.7,-0.993774951,39.61,85.02416229,50.67,10.63029003,6,6.17199,9.481,16.283,66.177,4.402191144,-0.78340435,59.97217,35.28339
Antigua and Barbuda,ATG,country,100,100,30.83,40.48160066,11.485,11,null,4.37567186,5.865,null,null,null,null,null,1.468,1675403704,4.344059831,18187.77971,3.787887426,2.831340075,95,93,95.70763132,1.431355982,null,null,null,78.691,99,5.5,24.26510048,98.36503872,97.3994801,0.953555167,209.3568182,0.534443401,5,7,1,2.7,0.7,3.2,0.400458485,70.25360107,102.2206192,111.1960373,null,5,8.51359,null,null,24.506,0.155165948,0.733219802,null,null
Argentina,ARG,country,99.9,100,46.153,55.13530886,14.783,14,0.5608538,9.47170544,7.6,7.740676,20.15901,72.10028,54.357,28.93,1.994,4.48E+11,-2.000861003,9963.674231,-2.969562499,4.724170208,83,86,79.94695203,53.8,38.996,60.29,20607477,77.284,99.0038681,7.6,26.80958176,99.75,95.42,-0.091444202,16.42082662,0.993397493,6,6,1,3.1,0.8,4.6,-0.408074647,77.77883148,109.5162964,108.2308426,95.44790649,6,8.03999,9.84,25.812,91.991,1.125019726,0.572384655,22.7149938,73.49278
Armenia,ARM,country,98.1,100,19.041,47.77305855,12.892,12,0.829193,11.3798008,9.662,29.90575,17.0539,53.04035,55.12,32.989,1.575,13619290546,7.599999999,4828.504889,8.2086495,2.561850071,92,95,66.54394969,1.443446608,43.757,62.779,1411206,75.439,99.8,10.5,84.79430389,99.92817193,93.85787165,-0.413424373,99.07277836,-0.564065543,3,4,1,2.2,1,2.6,-0.157182589,39.33663177,91.84506226,86.47232819,51.48752975,8,4.98389,12.2,24.609,63.219,-0.453278,0.055480633,31.760333,66.67974
Aruba,ABW,country,null,100,18.906,47.13924331,9.138,13,null,null,8.778,null,null,null,null,null,1.486,3395793855,0.635029788,31902.76258,0.181216309,null,null,null,97,4.257462043,null,null,null,76.248,97.80741882,null,null,97.87,98.72178836,1.349796057,591.3444444,0.451969659,2,6,null,null,null,null,1.25625968,null,null,,null,5,null,null,null,43.546,0.762320963,1.264367223,null,null
Australia,AUS,country,100,100,8.938,52.92950433,12.1,10,0.185087,10.22989082,6.7,2.558299,19.05847,78.38329,62.547,60.114,1.657,1.39E+12,2.171396224,54941.06572,0.665151145,5.135310173,95,94,93.60991916,1.610767873,68.121,65.95,13590354,82.9,99,3.2,14.69235134,99.96985437,100,0.911745727,3.294351419,1.485208447,5,7,0.4,1.6,0.4,2.1,1.726110816,166.1609192,99.72714996,140.6460419,115.9520416,6,10.0908,5.16,11.753,86.124,1.615335783,1.267398,10.608627,83.42296
Austria,AUT,country,100,100,5.499,50.0491128,9.6,13,1.077763,10.47507858,9.4,3.656134,25.35589,70.98798,58.605,51.61,1.46,4.45E+11,1.517388583,50070.40335,1.066969706,5.212910175,85,95,87.75220479,1.530895642,56.413,61.36,4662739,81.89512195,98,2.9,17.90847397,99.99999659,99.97270989,0.916747928,107.6093068,0.444673639,6,4,0.4,1.3,0.3,1.7,1.895342708,102.7037506,103.1049271,100.1937027,86.47553253,8,11.97275,4.49,8.514,58.515,0.817910607,1.338748932,7.366228,87.83932
Azerbaijan,AZE,country,98,100,49.404,44.20588232,14.1,10,33.022,4.0731144,5.6,34.66605,14.90599,50.42796,62.347,37.962,1.81,48174235294,2.500000067,4805.753718,1.635850481,2.681080103,94,98,81.09999907,2.610571828,43.338,65.525,4964822,73.102,99.79598236,18.2,68.31981659,95.66774777,96.12902945,-0.68591243,121.2800711,0.846646726,5,4,1.6,2.8,1.5,3.2,-0.591070116,41.13872147,97.93534851,94.77548981,31.54019928,8,1.96779,4.85,12.406,56.031,1.47506479,-1.529441476,54.34098,33.31829
"Bahamas, The",BHS,country,100,100,26.022,40.2855944,11.487,12,0.2621015,5.90402126,7.943,3.291617,11.58016,85.12869,66.045,39.168,1.398,13058700000,-0.743977998,32279.01136,-1.394387494,2.288419962,89,83,90.69327663,2.491235274,51.833,73.424,235408,71.205,96,15.4,26.35405159,98.8869605,94.93058233,0.816237688,40.41528472,0.657441085,2,6,5,6,8.3,9.9,0.072598852,39.73947906,81.36,76.89,15.06,6,4.39408,10.051,24.434,83.132,0.786275055,0.90619415,11.9017715,85.25714
Bahrain,BHR,country,100,100,9.676,29.89787695,13.198,9,0.421934,3.95980344,2,0.9920013,35.09085,63.91727,71.558,40.753,1.857,38653318085,2.166964669,25869.11291,1.698724144,2.094909906,99,99,99.70150438,1.005820047,43.35,72.413,864850,80.019,97.5,6.1,29.97935416,99.92183734,100,-0.627359509,1915.625641,0.459362585,5,6,1,1.8,0.9,2.5,0.489411116,51.5647316,98.02790833,97.11241913,55.62850952,6,1.58154,1.181,5.991,89.394,0.579117628,-1.429232478,0.9893101,97.40872
Bangladesh,BGD,country,23.5,92.2,77.678,49.25527744,18.35,5,10.5193,2.620749,5.28,38.32538,20.94673,40.72791,56.019,35.607,2.031,3.51E+11,7.881906729,2122.078386,6.687654398,1.971846581,98,97,27.76,5.591996399,40.632,58.587,70248864,72.806,74.6844635,25.3,72.05020905,97.82513657,54.91023996,-0.932975292,1271.538926,1.11317249,3,5,2.4,5.2,2.9,4.1,-0.631936312,40.81816101,116.4663467,72.55813599,24.01212883,7,0.00516,4.382,12.366,37.405,3.201394572,-0.741785586,54.35773,40.40279
Barbados,BRB,country,100,100,42.163,47.55610093,10.885,11,0.0288475,6.1940732,8.91,2.829336,16.91681,80.25386,57.061,33.072,1.623,5324250000,-0.131147253,19002.96238,-0.306518356,3.203989983,90,92,83.20881332,4.100289645,44.402,62.3,143823,77.257,99.6,11.7,46.72623062,98.51445042,98.09246231,1.049227476,651.5813953,0.175755759,5,6,1.2,2.3,0.5,3.7,0.3524023,85.74761963,100.3379135,102.7071991,65.43,5,9.46831,8.41,25.516,31.158,0.210994735,1.102835178,19.0287475,80.44592
Belarus,BLR,country,99.6,100,11.83,49.31692876,9.3,9,0.0302073,5.86133814,12.8,8.381658,32.05411,59.56423,60.799,40.243,1.382,64410112583,1.446206671,6837.767232,1.651118196,4.97947979,98,98,82.78915209,5.59815595,44.819,63.438,4971033,74.22682927,99.87400055,2.4,25.69003105,98.39198685,99.34076143,0.332389116,46.41075062,-0.201786601,4,4,0.6,1.7,0.6,2.5,-0.836098075,98.63175964,98.44673157,102.0773087,87.7572403,7,10.90107,4.16,10.212,79.044,0.367878413,-1.407921314,3.3926443,95.72836
