Country Name,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Birth rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",Individuals using the Internet (% of population),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Rule of Law: Estimate,"School enrollment, preprimary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Urban population (% of total population),Urban population growth (annual %),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Afghanistan,32.45,97.7,86.803,36.466,44.51263,37.14797,4.87,17.6,63.565,31.7,46.3,73.784643,51.00348109,1.9,13.4,2.5,18.1,-1.727894425,3.08,55.42520905,9.686420441,25.754,3.919286985,81.15342,16.82699
Albania,81.6,100.0,15.013,10.343,36.41685,43.43248,1.414,68.55039112,79.282,98.14115143,8.4,94.75822472,99.18306888,1.1,1.7,0.9,2.0,-0.402843326,75.75498962,95.08659363,59.7784996,61.229,1.071413549,51.19916,45.73177
Algeria,99.7,99.5,12.303,23.298,9.940742,59.59416,2.988,58.97757455,76.474,81.40783691,20.1,94.23913986,86.13850435,1.6,2.6,1.6,3.2,-0.848534942,79.07,99.61,52.61994171,73.189,2.607529824,27.458396,67.89183
Angola,49.3,45.63388062,141.278,39.725,59.3349,33.23489,5.442,32.12939197,62.448,68.57,50.4,56.88303749,51.39362268,6.7,12.8,10.3,18.7,-0.993774951,39.61,50.67,10.63029003,66.177,4.402191144,59.97217,35.28339
Argentina,99.9,100.0,46.153,14.783,7.740676,72.10028,1.994,79.94695203,77.284,99.0038681,7.6,99.75,95.42,1.0,3.1,0.8,4.6,-0.408074647,77.77883148,108.2308426,95.44790649,91.991,1.125019726,22.7149938,73.49278
Armenia,98.1,100.0,19.041,12.892,29.90575,53.04035,1.575,66.54394969,75.439,99.8,10.5,99.92817193,93.85787165,1.0,2.2,1.0,2.6,-0.157182589,39.33663177,86.47232819,51.48752975,63.219,-0.453278,31.760333,66.67974
Australia,100.0,100.0,8.938,12.1,2.558299,78.38329,1.657,93.60991916,82.9,99.0,3.2,99.96985437,100.0,0.4,1.6,0.4,2.1,1.726110816,166.1609192,140.6460419,115.9520416,86.124,1.615335783,10.608627,83.42296
Austria,100.0,100.0,5.499,9.6,3.656134,70.98798,1.46,87.75220479,81.89512195,98.0,2.9,99.99999659,99.97270989,0.4,1.3,0.3,1.7,1.895342708,102.7037506,100.1937027,86.47553253,58.515,0.817910607,7.366228,87.83932
Azerbaijan,98.0,100.0,49.404,14.1,34.66605,50.42796,1.81,81.09999907,73.102,99.79598236,18.2,95.66774777,96.12902945,1.6,2.8,1.5,3.2,-0.591070116,41.13872147,94.77548981,31.54019928,56.031,1.47506479,54.34098,33.31829
"Bahamas, The",100.0,100.0,26.022,11.487,3.291617,85.12869,1.398,90.69327663,71.205,96.0,15.4,98.8869605,94.93058233,5.0,6.0,8.3,9.9,0.072598852,39.73947906,76.89,15.06,83.132,0.786275055,11.9017715,85.25714
Bahrain,100.0,100.0,9.676,13.198,0.9920013,63.91727,1.857,99.70150438,80.019,97.5,6.1,99.92183734,100.0,1.0,1.8,0.9,2.5,0.489411116,51.5647316,97.11241913,55.62850952,89.394,0.579117628,0.9893101,97.40872
Bangladesh,23.5,92.2,77.678,18.35,38.32538,40.72791,2.031,27.76,72.806,74.6844635,25.3,97.82513657,54.91023996,2.4,5.2,2.9,4.1,-0.631936312,40.81816101,72.55813599,24.01212883,37.405,3.201394572,54.35773,40.40279
Barbados,100.0,100.0,42.163,10.885,2.829336,80.25386,1.623,83.20881332,77.257,99.6,11.7,98.51445042,98.09246231,1.2,2.3,0.5,3.7,0.3524023,85.74761963,102.7071991,65.43,31.158,0.210994735,19.0287475,80.44592
Belarus,99.6,100.0,11.83,9.3,8.381658,59.56423,1.382,82.78915209,74.22682927,99.87400055,2.4,98.39198685,99.34076143,0.6,1.7,0.6,2.5,-0.836098075,98.63175964,102.0773087,87.7572403,79.044,0.367878413,3.3926443,95.72836
Belgium,100.0,100.0,5.304,10.2,0.9195728,78.24387,1.6,90.27542801,81.99512195,99.0,3.4,100.0,99.48619883,0.4,1.1,0.4,1.8,1.366700649,113.5106735,156.0806122,80.13816833,98.041,0.581271661,10.5989132,85.76637
Belize,83.1,92.72,64.404,18.886,16.8605,67.43519,2.106,57.11844188,73.931,83.0,10.6,98.40054977,88.19850365,1.6,4.2,1.3,7.9,-0.836393356,47.67211914,86.38567352,24.99110031,45.866,2.132837292,29.980403,64.76237
Benin,4.8,39.99809265,93.897,37.675,29.4476,48.97603,5.13,22.41593843,60.454,42.36240005,58.0,66.67226715,18.62985459,7.0,11.3,12.7,11.2,-0.653755903,24.43139076,47.0,11.14138031,47.861,4.040767534,87.67181,10.89221
Bhutan,84.6,100.0,19.659,12.871,56.13877,34.06758,1.46,74.17944255,71.391,66.6,23.9,98.87231224,75.40367028,5.0,5.5,2.8,6.9,0.60570538,35.70903397,90.09468079,15.56830025,41.612,2.43936953,72.25163,27.64655
Bolivia,86.5,95.08,65.629,22.323,28.36029,51.49286,2.688,47.47481911,67.841,92.5,21.7,92.5659539,63.81630982,2.0,4.6,2.2,5.3,-1.174364448,77.3421402,89.98246002,2.54,69.773,1.95751015,59.70191,36.57371
Bosnia and Herzegovina,41.9,100.0,10.223,8.819,17.96246,50.32574,1.368,69.94634763,77.241,98.5,5.1,96.12370062,95.39,0.7,1.7,0.5,2.6,-0.20178242,24.58069038,81.36,40.19034958,48.626,-0.37947001,19.073978,75.10244
