country_name,tertiary_%,secondary_%,adult_literacy,youth_literacy,birth_rate,infant_mortality_rate,life_expectancy,adolescent_fertility_rate,urban_pop_%,electricity_access_%,water_access_%,physicians_%,salaried_%,vulnerable_%
Afghanistan,9.69,55.43,43.02,65.42,3.647,4.63,63.57,8.68,25.75,97.7,27.49,0.020999999999999998,16.83,81.15
Angola,10.63,50.67,71.1,77.43,3.973,5.04,62.45,14.128,66.18,45.63,66.5,0.020999999999999998,35.28,59.97
Albania,59.78,95.09,98.14,99.33,1.034,0.8400000000000001,79.28,1.501,61.23,100.0,70.67,0.16499999999999998,45.73,51.2
United Arab Emirates,52.61,102.16,95.53,96.31,0.975,0.58,79.73,0.383,86.79,100.0,95.29,0.26,95.06,1.4
Africa Western and Central,9.77,44.79,57.39,69.1,3.7920000000000003,6.624,56.88,11.5,46.04,49.76,26.62,0.024,19.31,78.57
Argentina,95.45,108.23,99.0,99.51,1.478,0.76,77.28,4.615,91.99,100.0,95.48,0.40700000000000003,73.49,22.71
Armenia,51.49,86.47,99.8,99.85,1.2890000000000001,1.05,75.44,1.904,63.22,100.0,82.82,0.44000000000000006,66.68,31.76
Australia,115.95,140.65,88.67,91.96,1.21,0.32,82.9,0.8939999999999999,86.12,100.0,99.59,0.385,83.42,10.61
Austria,86.48,100.19,98.76,99.6,0.96,0.29,81.9,0.55,58.52,100.0,98.9,0.5269999999999999,87.84,7.37
Azerbaijan,31.54,94.78,99.8,99.93,1.41,1.8199999999999998,73.1,4.9399999999999995,56.03,100.0,70.16,0.317,33.32,54.34
Burundi,3.92,45.09,68.38,88.22,3.632,4.0,62.35,5.486,13.37,9.84,62.0,0.01,12.21,86.54
Belgium,80.14,156.08,98.76,99.6,1.02,0.33999999999999997,82.0,0.53,98.04,100.0,99.71,0.315,85.77,10.6
Benin,11.14,47.91,42.36,60.95,3.768,5.8,60.45,9.39,47.86,40.0,67.36,0.006,10.89,87.67
Burkina Faso,7.1,41.31,41.22,58.87,3.6689999999999996,5.42,60.04,11.342,29.98,17.6,49.0,0.009,14.02,85.37
Bangladesh,24.01,72.56,74.68,94.86,1.8350000000000002,2.5300000000000002,72.81,7.768000000000001,37.41,92.2,58.18,0.064,40.4,54.36
Bulgaria,73.38,92.39,98.39,98.0,0.8800000000000001,0.5599999999999999,75.11,3.925,75.35,99.2,96.12,0.403,89.17,7.28
Bahrain,55.63,97.11,97.46,99.69,1.3199999999999998,0.61,80.02,0.968,89.39,100.0,98.91,0.093,97.41,0.99
"Bahamas, The",15.1,76.89,91.92,97.19,1.149,1.54,71.21,2.602,83.13,100.0,99.0,0.194,85.26,11.9
Bosnia and Herzegovina,40.19,107.51,98.1,99.9,0.882,0.51,77.24,1.022,48.63,100.0,88.72,0.21600000000000003,75.1,19.07
Belarus,87.76,102.08,99.87,99.87,0.93,0.24,74.23,1.183,79.04,100.0,92.85,0.454,95.73,3.39
Belize,24.99,86.39,82.78,87.0,1.889,1.06,73.93,6.44,45.87,92.72,98.41,0.11200000000000002,64.76,29.98
Bolivia,41.33,89.98,92.46,99.4,2.232,2.17,67.84,6.563,69.77,95.08,93.0,0.159,36.57,59.7
Brazil,55.14,103.95,93.23,99.2,1.363,1.34,75.34,5.002000000000001,86.82,99.8,70.65,0.231,66.92,28.33
Barbados,65.4,102.71,99.6,99.9,1.089,1.17,77.26,4.215999999999999,31.16,100.0,99.0,0.248,80.45,19.03
Brunei Darussalam,30.77,92.1,97.21,99.71,1.459,0.95,74.75,0.9960000000000001,77.94,100.0,99.9,0.161,91.02,6.27
Bhutan,15.57,90.09,66.56,93.09,1.287,2.3899999999999997,71.39,1.966,41.61,100.0,52.88,0.046,27.65,72.25
Botswana,25.08,73.6,86.82,97.0,2.489,2.9899999999999998,65.46,5.115,70.17,70.1,73.06,0.037,69.74,27.89
