Country Name,"School enrollment, tertiary (% gross)","School enrollment, secondary (% gross)","School enrollment, primary (% gross)","Government expenditure on education, total (% of government expenditure)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)","Birth rate, crude (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Life expectancy at birth, total (years)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Urban population (% of total population),Access to electricity (% of population),People using safely managed drinking water services (% of population)/at least basic,"Physicians (per 1,000 people)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Inflation, consumer prices (annual %)"
Afghanistan,9.69,55.43,106.70,11.34,43.02,65.42,36.47,46.30,63.57,86.80,25.75,97.70,27.49,0.21,11.09,16.83,81.15,2.30
Angola,10.63,50.67,113.50,6.05,71.1,77.43,39.73,50.40,62.45,141.28,66.18,45.63,66.50,0.21,9.48,35.28,59.97,17.08
Albania,59.78,95.09,104.81,13.43,98.14,99.33,10.34,8.40,79.28,15.01,61.23,100.00,70.67,1.65,11.47,45.73,51.20,1.41
United Arab Emirates,52.61,102.16,114.41,12.68,95.53,96.31,9.75,5.80,79.73,3.83,86.79,100.00,95.29,2.60,2.33,95.06,1.40,-1.93
Africa Western and Central,9.77,44.79,91.44,14.46,57.39,69.10,37.92,66.24,56.88,115.00,46.04,49.76,26.62,0.24,4.19,19.31,78.57,1.79
Argentina,95.45,108.23,109.52,12.53,99.00,99.51,14.78,7.60,77.28,46.15,91.99,100.00,95.48,4.07,9.84,73.49,22.71,53.50
Armenia,51.49,86.47,91.85,10.01,99.80,99.85,12.89,10.50,75.44,19.04,63.22,100.00,82.82,4.40,12.20,66.68,31.76,1.44
Australia,115.95,140.65,99.73,12.85,88.67,91.96,12.10,3.20,82.90,8.94,86.12,100.00,99.59,3.85,5.16,83.42,10.61,1.61
Austria,86.48,100.19,103.10,10.73,98.76,99.60,9.60,2.90,81.90,5.50,58.52,100.00,98.90,5.27,4.49,87.84,7.37,1.53
Azerbaijan,31.54,94.78,97.94,8.29,99.80,99.93,14.10,18.20,73.10,49.40,56.03,100.00,70.16,3.17,4.85,33.32,54.34,2.61
Burundi,3.92,45.09,118.96,21.22,68.38,88.22,36.32,40.00,62.35,54.86,13.37,9.84,62.00,0.10,0.87,12.21,86.54,-0.69
